City,Your city,Employment status,Position,Your position,Total years of experience,Years of experience in Germany,Seniority level,Your seniority level,Main technology / programming language,Your main technology,Other technologies/programming languages you use often,Years in the current workplace,What languages do you speak and use at work?,Company size,Annual gross salary without bonus and stocks in EUR,Annual gross salary with bonus and stocks in EUR,Annual gross salary+bonus+stocks one year ago.,Number of vacation days,Hourly rate in EUR,Working hours for the last year,Number of days off in the last year,"Third-party income from small customers or own projects (annualy, in EUR)",Working hours per week,layoff affects you,company_layoffs,Work From Home allowance,Did you already find a new job?,employment_status_change_in_2023,Do you currently search for a job?,How long have you been unemployed? (in months),company_hire_in_2023,company_industry,change_jobs,tc_new_job,change_jobs_voluntary,how_long_find_job,ai_impact,ai_use,ai_tool,ai_other_tools
Berlin,,Full/Part-time employee,Frontend Developer,,15,5,Senior,,JavaScript / Typescript,,"NodeJS, React",0.13,English,101-1000,90000,90000,80000,27,,,,,40,No,"Yes, in 2023",up to 100 euro,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,"Involuntarily, I was forced to look for a new job","1,0",Invisible,Yes,Copilot,
Berlin,,Full/Part-time employee,Product Manager,,6,1,Senior,,Other,,,2.00,"English,Russian",51-100,91000,9000,6000,28,,,,,40,,No,No,,No,,,Yes,Other,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,DevOps,,12,12,Senior,,Bash,,"Azure,Kubernetes,Terraform,Docker",3.00,German,101-1000,60000,60000,,30,,,,,40,,No,up to 100 euro,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,5,1,Senior,,JavaScript / Typescript,,"NodeJS,Go, React,AWS,Docker,Kubernetes,Python",1.00,English,101-1000,90000,95000,82000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Other,No,,,,Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Software Engineer,,8,4,Senior,,JavaScript / Typescript,,"NodeJS,Java / Scala",2.00,English,1000+,100000,185000,140000,unlimited,,,,,40,No,"Yes, in 2023",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Cologne,,Full/Part-time employee,Mobile Developer,,14,12,Senior,,Swift,,,6.00,German,11-50,60000,60000,60000,30,,,,,40,,I dont know,No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Backend Developer,,11,4,Senior,,Python,,Python,2.00,English,101-1000,77000,77000,69000,,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,,,,
Munich,,Full/Part-time employee,Designer (UI/UX),,2,2,Junior,,Other,Drupal,"PHP,Kubernetes,Azure,Docker",0.75,German,11-50,39600,39600,0,30,,,,,30,,No,500 - 1000,,Working student,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","6,0",Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Mobile Developer,,5,1,Senior,,Swift,,,0.80,English,101-1000,72000,80000,,30,,,,,40,,No,100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,,,,
Berlin,,Full/Part-time employee,Engineering Manager,,13,1,Head / Principal,,Other,Cloud Security,"Azure,Google Cloud,AWS,Terraform,Other",1.00,"English,German,Russian",1000+,122000,132000,132000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Other",Bing
Berlin,,Self-employed (freelancer),Backend Developer,,15,7,Senior,,PHP,,"Javascript / Typescript,Docker,AWS",0.50,"English,German",51-100,,,,,100,1150,30,0,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","1,0",Invisible,No,,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,10,2,Lead / Staff,,Go,,"SQL,Google Cloud,Kubernetes,Terraform,Docker",2.00,"English,Russian,German",101-1000,95000,95000,85000,30,,,,,40,,No,No,,No,,,Yes,Financial Services,No,,,,Invisible,Yes,Copilot,
Munich,,Full/Part-time employee,Software Engineer,,8,0,Middle,,C / C++,,"Python,Docker",0.25,English,101-1000,70000,75000,,30,,,,,40,,I dont know,500 - 1000,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","3,0",,,,
Berlin,,Full/Part-time employee,Software Engineer,,7,5,Senior,,JavaScript / Typescript,,React,2.00,English,1000+,105000,170000,145000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2023",over 1000 euros,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Data Scientist,,7,1,Senior,,Python,,SQL,1.00,"English,Russian",1000+,94000,94000,75000,28,,,,,40,No,"Yes, in 2023",100 - 500,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Moderate but noticeable,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Other,,25,5,Senior,,Bash,,"Python,Docker",1.00,English,51-100,98000,98000,76000,28,,,,,40,,No,up to 100 euro,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,12,7,Senior,,Scala,,"Python,Java / Scala,Other",1.50,English,1000+,105000,125000,125000,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Other,Consultant,7,45,Middle,,SAP / ABAP,,"SQL,SAP / ABAP",2.00,German,11-50,65700,73000,68000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Frankfurt,,Full/Part-time employee,QA Engineer,,13,5,Senior,,Other,,,3.00,"English,German",101-1000,75000,80000,,30,,,,,40,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,20,6,Lead / Staff,,Java,,,2.00,English,101-1000,85000,0,80000,30,,,,,40,,No,No,,No,,,Yes,Other,No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,5,1,Middle,,Java,,"Kotlin,Docker,AWS",0.08,English,1000+,86000,96000,70000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Retail and Consumer Services,Yes,better than it was,"Voluntary, it was my decision","1,0",Invisible,No,,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,11,6,Lead / Staff,,Java,,"Java / Scala,Javascript / Typescript, React,SQL,Azure,Kubernetes,Docker,Terraform,Python",0.50,German,1000+,90000,90000,28,,,,,,40,,No,over 1000 euros,,Full/Part-time employee,,,Yes,"Manufacturing, Transportation, or Supply Chain",Yes,better than it was,"Voluntary, it was my decision","1,0",Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,4,1,Senior,,Swift,,"Ruby,Kubernetes,AWS",1.00,English,1000+,84000,84000,70000,28,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Other,Leipzig,Full/Part-time employee,Network / Security Engineer / System Administrator,,15,2,Senior,,Bash,,"Docker,AWS",2.00,"English,Russian",11-50,68,72,,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Cologne,,Full/Part-time employee,Engineering Manager,,9,4,Lead / Staff,,Kotlin,,,4.00,"English,Russian",51-100,85000,95000,88000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Mobile Developer,,10,5,Lead / Staff,,Kotlin,,"Kotlin,Other",5.00,English,1000+,102000,130000,117000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Mobile Developer,,12,1,Lead / Staff,,Kotlin,,"Python,Other,Google Cloud,Javascript / Typescript",1.00,English,1000+,100000,120000,115000,25,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,4,4,Middle,,Java,,"Java / Scala,Kotlin,Docker,Kubernetes,AWS,SQL",2.25,English,1000+,76400,10000,,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Head / Principal / VP,,11,5,Head / Principal,,Go,,"Python,Kubernetes,AWS",2.50,English,1000+,123000,170000,138000,28,,,,,40,No,"Yes, both in 2022-2023",100 - 500,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Berlin,,Full/Part-time employee,Engineering Manager,,18,6,Senior,,Java,,"Kotlin,Python,AWS,Kubernetes,Terraform,Docker",2.00,English,1000+,120000,165000,165000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Frontend Developer,,10,5,Lead / Staff,,JavaScript / Typescript,," React,NodeJS,Kubernetes,Docker,Terraform,AWS",5.00,English,1000+,107000,135000,120000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Product Manager,,15,8,Senior,,Other,,,1.50,English,101-1000,90000,90000,,30,,,,,40,,No,No,,No,,,"Yes, but only for backfilling",Other,No,,,,Invisible,Yes,ChatGPT,
Berlin,,Unemployed,Software Engineer,,18,8,Senior,,Rust,,"Kotlin,Java / Scala,Javascript / Typescript, React,NodeJS,Ruby,Rust,Go,AWS,Google Cloud,Kubernetes,Terraform,Docker",0.00,English,up to 10,,,,,,,,,,No,"Yes, both in 2022-2023",No,,No,"Yes, actively ",11,No,Other,No,,,,Moderate but noticeable,Yes,"ChatGPT,Other",AI Assistant (JetBrains)
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,16,8,Lead / Staff,,C / C++,,Java / Scala,2.00,"English,Russian",1000+,135000,270000,296000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Data Scientist,,5,0,Senior,,SQL,,Python,0.00,English,11-50,88500,88500,,30,,,,,40,,No,No,,Self-employed (freelancer),,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,about the same,"Voluntary, it was my decision","2,0",Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,45,45,Middle,,JavaScript / Typescript,," React,NodeJS",45.00,English,101-1000,70000,70000,68000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"Copilot,ChatGPT",
Berlin,,Full/Part-time employee,Other,Data Annotation Team Lead,5,1,Lead / Staff,,Python,,SQL,1.00,"English,German",11-50,35000,35000,,24,,,,,40,No,"Yes, in 2023",No,,Unemployed,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","2,0",Great,No,,
Munich,,Full/Part-time employee,BI Developer / Data Engineer,,13,4,Senior,,SQL,,"C# / .NET core,SQL,Other",4.00,English,101-1000,80000,80000,75000,30,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,Wholesale,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,10,10,Senior,,Go,,"Kotlin,Javascript / Typescript, React,NodeJS,AWS,Kubernetes,Terraform,Docker",5.00,"English,German,Russian",1000+,80000,91000,76000,30,,,,,35,No,"Yes, both in 2022-2023",500 - 1000,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,12,6,Lead / Staff,,Java,,"Kotlin,C# / .NET core,.NET,AWS,Google Cloud,Azure,Kubernetes,Docker",6.00,"English,Russian",1000+,120000,35000,20000,30,,,,,40,,No,100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,6,1,Senior,,Java,,"Javascript / Typescript, React,SQL",1.50,"English,Russian",1000+,73000,76000,,30,,,,,39,,No,500 - 1000,,No,,,Yes,Financial Services,No,,,,Invisible,Yes,ChatGPT,
Other,Heidelberg,Full/Part-time employee,Backend Developer,,7,2,Lead / Staff,,PHP,,React,2.00,"English,Russian",1000+,150000,175000,170000,30,,,,,35,,"Yes, in 2022",100 - 500,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,8,1,Senior,,Kotlin,,,1.00,"English,Russian",1000+,115000,115000,115000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Berlin,,Full/Part-time employee,Software Engineer,,10,5,Lead / Staff,,Go,,"PHP,SQL,Go,AWS,Kubernetes,Terraform,Docker,Other",5.00,English,1000+,110000,27500,102900,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,15,7,Senior,,Java,,"Kotlin,SQL,Google Cloud,Kubernetes,Terraform,Docker",4.00,English,1000+,118000,240000,240000,unlimited,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Invisible,Yes,ChatGPT,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,15,2,Lead / Staff,,JavaScript / Typescript,," React,NodeJS,Rust",2.00,English,1000+,78,94,86,26,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,Copilot,
Nuremberg,,Full/Part-time employee,Other,ISO,16,2,Senior,,Other,,Other,1.00,English,1000+,115,118,114,28,,,,,40,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Frankfurt,,Full/Part-time employee,Software Engineer,,10,8,Senior,,Python,,"Python,C / C++,Javascript / Typescript,Java / Scala",2.00,English,1000+,115000,130000,,30,,,,,45,,No,No,,No,,,Yes,Financial Services,No,,,,,,,
Hamburg,,Full/Part-time employee,Frontend Developer,,9,5,Middle,,JavaScript / Typescript,," React,NodeJS",0.50,"English,German",1000+,63000,70000,63000,30,,,,,38,,I dont know,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Involuntarily, I was forced to look for a new job","2,0",Invisible,No,,
Munich,,Full/Part-time employee,Software Engineer,,5,2,Middle,,Java,,"Kubernetes,Terraform,Docker,Java / Scala,Python,Javascript / Typescript,Other",2.00,English,11-50,62000,65000,,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Software Engineer,,9,3,Middle,,C / C++,,Other,2.00,English,1000+,100000,135000,135000,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,No,,
Bonn,,Full/Part-time employee,Software Engineer,,6,3,Middle,,Python,,"Javascript / Typescript, React,SQL,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker,Other",3.50,"English,German,Russian",51-100,69000,69000,60000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software Engineer,,4,1,Middle,,Python,," React,NodeJS,AWS,Google Cloud,Azure",1.00,"English,German",11-50,60000,0,0,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"ChatGPT,Copilot",
Munich,,Full/Part-time employee,Software Engineer,,9,7,Head / Principal,,C / C++,,Python,1.00,English,1000+,125000,150000,,30,,,,,40,,No,over 1000 euros,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","3,0",Invisible,No,,
Munich,,Full/Part-time employee,Software / Solutions Architect,,15,6,Senior,,Python,,"AWS,Terraform,Docker",2.00,"English,German",1000+,115000,130000,117000,29,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,I dont know,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Nuremberg,,Full/Part-time employee,Product Manager,,10,10,Lead / Staff,,Python,,,2.00,"English,German",1000+,110000,10000,7000,30,,,,,40,,No,No,,No,,,Yes,"Manufacturing, Transportation, or Supply Chain",No,,,,Moderate but noticeable,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Product Manager,,5,1,Senior,,JavaScript / Typescript,,,,"English,Russian",1000+,78000,90000,85000,28,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2023",up to 100 euro,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Software / Solutions Architect,,14,12,Lead / Staff,,Other,Azure,"Azure,Kubernetes,Terraform,Docker,Other",3.00,"English,German",1000+,130000,150000,145000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,7,2,Senior,,Python,,"Javascript / Typescript,Other",1.00,English,up to 10,5560,66500,,28,,,,,39,,No,No,,No,,,Yes,Higher Education,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,14,9,Lead / Staff,,NodeJS,,"Go,Terraform,AWS,Google Cloud,Javascript / Typescript,Docker",9.00,English,1000+,108,138,98,26,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Network / Security Engineer / System Administrator,,15,6,Senior,,Other,,"Python,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",3.00,German,11-50,75000,75000,75000,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Other,Hannover,Full/Part-time employee,BI Developer / Data Engineer,,12,5,Junior,,Other,Power BI,Python,1.00,English,51-100,64700,64700,82000,unlimited,,,,,40,,No,500 - 1000,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,10,7,Senior,,Python,,"Javascript / Typescript,SQL,AWS",2.00,English,11-50,75000,75000,75000,30,,,,,40,,"Yes, in 2022",No,,No,,,No,Healthcare,No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Mobile Developer,,7,6,Senior,,Kotlin,,,2.25,English,101-1000,80,85,77,30,,,,,40,,No,No,,No,,,Yes,Financial Services,No,,,,Invisible,No,,
Dusseldorf,,Full/Part-time employee,Head / Principal / VP,,7,4,Head / Principal,,Go,,"PHP,Javascript / Typescript",0.25,English,51-100,135000,155000,129500,30,,,,,40,,No,No,,Full/Part-time employee,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,9,9,Senior,,Java,,"Kotlin,Docker,SQL",3.50,English,1000+,90000,90000,87000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Tech Lead / Team Lead,,11,8,Lead / Staff,,Kotlin,,"Java / Scala,AWS",2.00,English,1000+,100000,130000,110000,30,,,,,40,"Yes, I am satisfied with a severance package","Yes, in 2023",No,,No,,,No,Financial Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Software Engineer,,7,2,Senior,,Kotlin,,"Java / Scala,PHP",0.25,"English,German",101-1000,85000,85000,65000,30,,,,,40,,No,No,,No,,,Yes,Retail and Consumer Services,Yes,better than it was,"Voluntary, it was my decision","3,0",Moderate but noticeable,No,,
Munich,,Full/Part-time employee,Tech Lead / Team Lead,,16,8,Lead / Staff,,PHP,,"Python,Javascript / Typescript,Go,Docker,AWS",5.00,"English,German",1000+,100000,100000,96000,28,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,12,2,Senior,,Python,,"Go,Terraform,Docker,Kubernetes,Google Cloud,AWS,SQL",2.00,English,1000+,89500,107000,84000,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Invisible,No,,
Munich,,Full/Part-time employee,Software Engineer,,19,4,Senior,,Java,,Other,4.00,English,1000+,95500,150000,145000,30,,,,,40,No,"Yes, in 2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Other,Design Manager,11,1,Lead / Staff,,Other,Figma,,1.00,English,1000+,88000,98000,,25,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,No,"Manufacturing, Transportation, or Supply Chain",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,11,5,Senior,,PHP,,"C / C++,Python,Swift,Javascript / Typescript,Rust",1.50,English,1000+,137,80,180,30,,,,,40,No,"Yes, both in 2022-2023",over 1000 euros,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,"Other,ChatGPT",
Berlin,,Full/Part-time employee,Software Engineer,,2,2,Junior,,Python,,"Google Cloud,Kubernetes,Terraform,Docker",0.25,"English,Russian",1000+,67000,67000,,27,,,,,40,No,"Yes, in 2023",up to 100 euro,,Self-employed (freelancer),,,Yes,Retail and Consumer Services,Yes,better than it was,"Voluntary, it was my decision","2,0",Great,Yes,"ChatGPT,Copilot,Other",GCP Vertex AI
Berlin,,Full/Part-time employee,Software Engineer,,10,1,Senior,,Python,,"Python,Kubernetes,Terraform,Docker,AWS",1.50,English,1000+,90000,100000,95000,25,,,,,40,,"Yes, in 2022",100 - 500,,No,,,"Yes, but only for backfilling",Retail and Consumer Services,No,,,,Moderate but noticeable,Yes,Copilot,
Berlin,,Full/Part-time employee,Product Manager,,7,7,Senior,,Other,,,4.00,English,1000+,83000,83000,78000,31,,,,,40,,No,No,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Software Engineer,,15,3,Senior,,C / C++,,"Python,C / C++,Docker",3.00,English,1000+,72000,72000,72000,30,,,,,40,,No,up to 100 euro,,No,,,"Yes, but only for backfilling","Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Data Scientist,,5,5,Middle,,Python,,"AWS,Docker,Kubernetes,SQL",1.00,"English,Russian",1000+,90000,105000,90000,27,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,better than it was,"Voluntary, it was my decision","3,0",Great,No,,
Berlin,,Full/Part-time employee,Mobile Developer,,7,1,Senior,,Kotlin,,Kotlin,1.00,English,1000+,70000,70000,,30,,,,,40,,No,No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Great,Yes,ChatGPT,
Munich,,Full/Part-time employee,Software Engineer,,4,1,Middle,,JavaScript / Typescript,,"Javascript / Typescript, React,NodeJS,SQL",4.00,English,1000+,60000,60000,0,30,,,,,40,,I dont know,over 1000 euros,,No,,,Yes,Legal Services,Yes,better than it was,"Voluntary, it was my decision","7,0",Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Software Engineer,,15,8,Senior,,Kotlin,,"Javascript / Typescript, React,Ruby,AWS,Kubernetes,Docker,Terraform",1.00,English,11-50,95000,100000,92000,30,,,,,40,,No,500 - 1000,,Full/Part-time employee,,,Yes,Financial Services,Yes,better than it was,"Voluntary, it was my decision","0,0",Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Backend Developer,,5,1,Middle,,Python,,"Python,AWS,Terraform,Docker,SQL",,"English,Russian",11-50,66000,6000,,25,,,,,40,,No,No,,No,,,No,"Manufacturing, Transportation, or Supply Chain",No,,,,Great,Yes,"ChatGPT,Copilot",
Berlin,,Full/Part-time employee,Engineering Manager,,15,15,Middle,,Python,,"Docker,Terraform,Kubernetes,Google Cloud",4.00,"English,German",1000+,102645,125145,110101,27,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,No,,
Hamburg,,Full/Part-time employee,Software Engineer,,25,4,Senior,,Python,,"Python,C / C++,Go",2.00,English,1000+,135000,245000,,32,,,,,40,No,"Yes, both in 2022-2023",500 - 1000,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,Other,
Berlin,,Full/Part-time employee,Engineering Manager,,15,5,,,Go,,"Python,AWS,Google Cloud,Azure,Kubernetes,Terraform,Docker",2.00,English,1000+,120000,150000,150000,30,,,,,40,No,"Yes, both in 2022-2023",up to 100 euro,,No,,,Yes,Retail and Consumer Services,No,,,,Moderate but noticeable,No,,
Berlin,,Full/Part-time employee,Software Engineer,,6,3,Middle,,Java,,"Javascript / Typescript,AWS",3.00,English,1000+,58000,70000,,23,,,,,26,No,"Yes, both in 2022-2023",No,,No,,,No,"Information Services, IT, Software Development, or other Technology",No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Engineering Manager,,12,1,Lead / Staff,,Go,,"Python,Kotlin,Swift",1.00,English,1000+,102000,23000,118000,26,,,,,40,No,"Yes, both in 2022-2023",No,,No,,,Yes,Retail and Consumer Services,No,,,,Invisible,No,,
Berlin,,Full/Part-time employee,Designer (UI/UX),,13,5,Senior,,Other,n/a,,0.25,"English,German",11-50,90000,90000,138500,30,,,,,40,,No,No,,Full/Part-time employee,,,Yes,"Information Services, IT, Software Development, or other Technology",Yes,worse than it was,"Involuntarily, I was forced to look for a new job","3,0",Moderate but noticeable,Yes,"ChatGPT,Other",Midjourney
Berlin,,Full/Part-time employee,Software Engineer,,5,1,Middle,,Java,,"Kotlin,Java / Scala,Kubernetes,AWS,Terraform,Docker,SQL",1.00,English,1000+,83000,5000,,,,,,,40,No,"Yes, in 2023",No,,No,,,Yes,"Information Services, IT, Software Development, or other Technology",No,,,,Moderate but noticeable,Yes,ChatGPT,
Berlin,,Full/Part-time employee,Backend Developer,,20,8,Head / Principal,,Java,,"Java / Scala,Kotlin,Ruby,Kubernetes,Docker,SQL",3.00,"English,German",101-1000,90000,0,,30,,,,,40,No,"Yes, in 2023",No,,No,,,"Yes, but only for backfilling",Financial Services,No,,,,Moderate but noticeable,No,,
